Income from Sells
Date acquired,Date sold,Symbol,Security name,ISIN,Country,Quantity,Cost basis,Gross proceeds,Gross PnL,Currency
2022-04-27,2025-03-03,NFLX,Netflix,US64110L1061,US,0.01988175,3.80,19.54,15.74,USD
2023-01-23,2025-03-03,NFLX,Netflix,US64110L1061,US,0.02923976,10.00,28.74,18.74,USD
2024-01-18,2025-03-03,GOOGL,Alphabet (Class A),US02079K3059,US,0.34243515,48.68,58.89,10.21,USD
2024-06-17,2025-04-02,AMZN,Amazon,US0231351067,US,0.21895444,40.00,41.73,1.73,USD
2024-07-01,2025-03-03,NKE,Nike,US6541061031,US,1.3243279,100.00,105.93,5.93,USD

Other income & fees
Date,Symbol,Security name,ISIN,Country,Gross amount,Withholding tax,Net Amount,Currency
2024-05-17,AAPL,Apple dividend,US0378331005,US,2.04,0.22 CZK,1.82 CZK,CZK
2024-10-02,NKE,Nike dividend,US6541061031,US,11.24,1.60 CZK,9.64 CZK,CZK
2024-12-03,V,Visa dividend,US92826C8394,US,0.47,$0,0.47 CZK,CZK
